species;column;genus;class;group;funcGroup;Comments;Carb
Ceratium fusus ;C._fusus_C;Ceratium;Dinophyceae;dinoflagellate;protozooplankton;;
Ceratium horridum ;C._horridum_C;Ceratium;Dinophyceae;dinoflagellate;protozooplankton;;
Ceratium lineatum ;C._lineatum_C;Ceratium;Dinophyceae;dinoflagellate;protozooplankton;;
Chaetoceros compressus ;C._compressus_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros crinitus ;C._crinitus_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros danicus ;C._danicus_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros debilis ;C._debilis_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros decipiens ;C._decipiens_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros densus ;C._densus_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros diadema ;C._diadema_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros didymus ;C._didymus_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros eibenii ;C._eibenii_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros lauderi ;C._lauderi_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros socialis ;C._socialis_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros sp. ;Chaetoceros_sp._C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chaetoceros teres ;C._teres_C;Chaetoceros;Bacillariophyceae;diatom;phytoplankton;;
Chattonella sp. ;Chattonella_sp._C;Chattonella;Raphidophyceae;OUT;phytoplankton;raphidophyte;329 Nas, summed carbon of 0.32
Chrysochromulina sp. ;Chrysochromulina_sp._C;Chrysochromulina;Prymnesiophyceae;OUT;phytoplankton;haptophyte;329 Nas, summed carbon of 0.14
Ciliates indeterminata ;Ciliates_indet_C;Ciliates;NA;ciliate;protozooplankton;;
Tintinidae indeterminata ;Tintinidae_indet_C;Tintinidae;NA;ciliate;protozooplankton;;
Corymbellus aureus ;C._aureus_C;Corymbellus;Prymnesiophyceae;OUT;phytoplankton;haptophyte;219 NAs, summed carbon of 3.747
Coscinodiscus commutatus ;C._commutatus_C;Coscinodiscus;Bacillariophyceae;diatom;phytoplankton;;
Coscinodiscus concinnus ;C._concinnus_C;Coscinodiscus;Bacillariophyceae;diatom;phytoplankton;;
Coscinodiscus granii ;C._granii_C;Coscinodiscus;Bacillariophyceae;diatom;phytoplankton;;
Coscinodiscus radiatus ;C._radiatus_C;Coscinodiscus;Bacillariophyceae;diatom;phytoplankton;;
Coscinodiscus sp. ;Coscinodiscus_sp._C;Coscinodiscus;Bacillariophyceae;diatom;phytoplankton;;
Cryptophyceae indeterminata ;Cryptophyceae_indet_C;Cryptophyceae;Cryptophyceae;Cryptophyceae;phytoplankton;mainly phototrophic;164 NAs, summed carbon of 1757.29
Cyanobacteria indeterminata ;Cyanobacteria_indet_C;Cyanobacteria;Cyanophyceae;OUT;protozooplankton;cyanobacteria;329 NAs, summed carbon of 0.34
Cylindrotheca closterium ;C._closterium_C;Cylindrotheca;Bacillariophyceae;diatom;phytoplankton;;
Dactyliosolen fragilissimus ;D._fragilissimus_C;Dactyliosolen;Bacillariophyceae;diatom;phytoplankton;;
Delphineis surirella ;D._surirella_C;Delphineis;Bacillariophyceae;diatom;phytoplankton;;
Detonula pumila ;D._pumila_C;Detonula;Bacillariophyceae;diatom;phytoplankton;;
Dictyocha speculum ;D._speculum_C;Dictyocha;Dyctiocophyceae;Dictyocha speculum ;phytoplankton;silicoflagellate, phototrophic;0 NAs, summed carbon of 70.473
Didinium gargantua ;D._gargantua_C;Didinium;Litostomatea;ciliate;protozooplankton;;
Dinobryon sp. ;Dinobryon_sp._C;Dinobryon;Chrysophyceae;OUT;phytoplankton;chrysophytes;273 NAs, summed carbon of 0.046
Dinophyceae indeterminata ;Dinophy_indet_C;Dinophyceae;Dinophyceae;dinoflagellate;protozooplankton;;
Dinophysis acuminata ;D._acuminata_C;Dinophysis;Dinophyceae;dinoflagellate;protozooplankton;;
Diploneis sp. ;Diploneis_sp._C;Diploneis;Bacillariophyceae;diatom;phytoplankton;;
Diplopsalis group ;Diplopsalis_gr_C;Diplopsalis;Dinophyceae;dinoflagellate;protozooplankton;;
Ditylum brightwellii ;D._brightwellii_C;Ditylum;Bacillariophyceae;diatom;phytoplankton;;
Ebria tripartita ;E._tripartita_C;Ebria;Ebriophyceae;heterotrophic flagellate;protozooplankton;??;50 NAs, summed carbon of 198.058, may be grouped to het. Flagellates
Entomoneis paludosa ;E._paludosa_C;Entomoneis;Bacillariophyceae;diatom;phytoplankton;;
Entomoneis sp. ;Entomoneis_sp._C;Entomoneis;Bacillariophyceae;diatom;phytoplankton;;
Eucampia zodiacus ;E._zodiacus_C;Eucampia;Bacillariophyceae;diatom;phytoplankton;;
Eunotogramma dubium ;E._dubium_C;Eunotogramma;Bacillariophyceae;diatom;phytoplankton;;
Eutreptia sp. ;Eutreptia_sp._C;Eutreptia;Euglenoidea;heterotrophic flagellate;protozooplankton;euglenoid;329 NAs, may be grouped to het. Flagellates
Fibrocapsa japonica ;F._japonica_C;Fibrocapsa;Raphidophyceae;OUT;phytoplankton;raphidophyte;276 Nas, summed carbon of 4.9
Flagellates indeterminata, fractionated ;Flag_indet_C_frac;Flagellates;NA;heterotrophic flagellate;protozooplankton;?? (protist:algae/heterotroph);224 NAs, may be grouped to het. Flagellates
Gonyaulax spinifera ;G._spinifera_C;Gonyaulax;Dinophyceae;dinoflagellate;protozooplankton;;
Guinardia delicatula ;G._delicatula_C;Guinardia;Bacillariophyceae;diatom;phytoplankton;;
Guinardia flaccida ;G._flaccida_C;Guinardia;Bacillariophyceae;diatom;phytoplankton;;
Guinardia striata ;G._striata_C;Guinardia;Bacillariophyceae;diatom;phytoplankton;;
Gymnodinium sp. ;Gymnodinium_sp._C;Gymnodinium;Dynophyceae;dinoflagellate;protozooplankton;;
Gyrodinium sp. ;Gyrodinium_sp._C;Gyrodinium;Dynophyceae;dinoflagellate;protozooplankton;;
Gyrodinium undulans ;G._undulans_C;Gyrodinium;Dynophyceae;dinoflagellate;protozooplankton;;
Helicostomella subulata ;H._subulata_C;Helicostomella;Oligotrichea;ciliate;protozooplankton;;
Helicotheca tamesis ;H._tamesis_C;Helicotheca;Bacillariophyceae;diatom;phytoplankton;;
Heliozoa indeterminata ;Heliozoa_indet_C;Heliozoa;NA;OUT;protozooplankton;heliozoan;329 NAs, summed carbon of 0.14
Hemistasia phaeocystidicola ;H._phaeocystidicola_C;Hemistasia;Kinetoplastea;heterotrophic flagellate;protozooplankton;euglenozoan;329 NAs, summed carbon of 0.15, may be grouped to het. Flagellates
Heterocapsa triquetra ;H._triquetra_C;Heterocapsa;Dynophyceae;dinoflagellate;protozooplankton;;
Laboea strobila ;L._strobila_C;Laboea;Oligotrichea;ciliate;protozooplankton;;
Lauderia annulata ;L._annulata_C;Lauderia;Bacillariophyceae;diatom;phytoplankton;;
Lennoxia faveolata ;L._faveolata_C;Lennoxia;Bacillariophyceae;diatom;phytoplankton;;
Leptocylindrus danicus ;L._danicus_C;Leptocylindrus;Bacillariophyceae;diatom;phytoplankton;;
Leptocylindrus minimus ;L._minimus_C;Leptocylindrus;Bacillariophyceae;diatom;phytoplankton;;
Leucocryptos sp. ;Leucocryptos_sp._C;Leucocryptos;Cryptophyceae;heterotrophic flagellate;protozooplankton;??;274 NAs, may be grouped to het. Flagellates
Lithodesmium undulatum ;L._undulatum_C;Lithodesmium;Bacillariophyceae;diatom;phytoplankton;;
Melosira sp. ;Melosira_sp._C;Melosira;Bacillariophyceae;diatom;phytoplankton;;
Merismopedia sp. ;Merismopedia_sp._C;Merismopedia;Cyanophyceae;OUT;protozooplankton;cyanobacteria;224 Nas, summed carbon of 1.24
Meuniera membranacea ;M._membranacea_C;Meuniera;Bacillariophyceae;diatom;phytoplankton;;
Micracanthodinium sp. ;Microcanthodinium_sp._C;Micracanthodinium;Dinophyceae;dinoflagellate;protozooplankton;;
Myrionecta rubra ;M._rubra_C;Myrionecta;Litostomatea;ciliate;protozooplankton;;
Navicula sp. ;Navicula_sp._C;Navicula;Bacillariophyceae;diatom;phytoplankton;;
Nitzschia robusta ;N._robusta_C;Nitzschia;Bacillariophyceae;diatom;phytoplankton;;
Nitzschia sp. ;Nitzschia_sp._C;Nitzschia;Bacillariophyceae;diatom;phytoplankton;;
Noctiluca scintillans ;N._scintillans_C;Noctiluca;Dinophyceae;Nsci;Nsci;;
Odontella aurita ;O._aurita_C;Odontella;Bacillariophyceae;diatom;phytoplankton;;
Odontella granulata ;O._granulata_C;Odontella;Bacillariophyceae;diatom;phytoplankton;;
Odontella mobiliensis ;O._mobiliensis_C;Odontella;Bacillariophyceae;diatom;phytoplankton;;
Odontella regia ;O._regia_C;Odontella;Bacillariophyceae;diatom;phytoplankton;;
Odontella rhombus ;O._rhombus_C;Odontella;Bacillariophyceae;diatom;phytoplankton;;
Odontella rhombus forma trigona ;O._rhombus_f_trigona_C;Odontella;Bacillariophyceae;diatom;phytoplankton;;
Odontella sinensis ;O._sinensis_C;Odontella;Bacillariophyceae;diatom;phytoplankton;;
Paralia sulcata ;P._sulcata_C;Paralia;Bacillariophyceae;diatom;phytoplankton;;
Phaeocystis sp. ;Phaeocystis_sp._C;Phaeocystis;Prymnesiophyceae;Phaeocystis sp.;phytoplankton;haptophyte;0 NAs+dominant summer phytoplankton
Plagiogrammopsis vanheurckii ;P._vanheurckii_C;Plagiogrammopsis;Bacillariophyceae;diatom;phytoplankton;;
Pleurosigma sp. ;Pleurosigma_sp._C;Pleurosigma;Bacillariophyceae;diatom;phytoplankton;;
Podosira stelligera ;P._stelligera_C;Podosira;Bacillariophyceae;diatom;phytoplankton;;
Polykrikos kofoidii ;P._kofoidii_C;Polykrikos;Dynophyceae;dinoflagellate;protozooplankton;;
Polykrikos sp. ;Polykrikos_sp._C;Polykrikos;Dynophyceae;dinoflagellate;protozooplankton;;
Proboscia indica ;P._indica_C;Proboscia;Bacillariophyceae;diatom;phytoplankton;;
Prorocentrum micans ;P._micans_C;Prorocentrum;Dynophyceae;dinoflagellate;protozooplankton;;
Prorocentrum redfieldii ;P._redfieldii_C;Prorocentrum;Dynophyceae;dinoflagellate;protozooplankton;;
Prorocentrum sp. ;Prorocentrum_sp._C;Prorocentrum;Dynophyceae;dinoflagellate;protozooplankton;;
Protoperidinium bipes ;P._bipes_C;Protoperidinium;Dynophyceae;dinoflagellate;protozooplankton;;
Protoperidinium brevipes ;P._brevipes_C;Protoperidinium;Dynophyceae;dinoflagellate;protozooplankton;;
Protoperidinium minutum ;P._minutum_C;Protoperidinium;Dynophyceae;dinoflagellate;protozooplankton;;
Protoperidinium pellucidum ;P._pellucidum_C;Protoperidinium;Dynophyceae;dinoflagellate;protozooplankton;;
Protoperidinium sp. ;Protoperidinium_sp._C;Protoperidinium;Dynophyceae;dinoflagellate;protozooplankton;;
Prymnesiophyceae indeterminata ;Prymnesiophyceae_indet_C;Prymnesiophyceae;Prymnesiophyceae;OUT;phytoplankton;haptophyte;219 NAs, summed carbon of 7.38
Pseudo-nitzschia delicatissima ;P-n_delicatissima_C;Pseudo-nitzschia;Bacillariophyceae;diatom;phytoplankton;;
Pseudo-nitzschia sp. ;Pseudo-nitzschia_sp._C;Pseudo-nitzschia;Bacillariophyceae;diatom;phytoplankton;;
Pterosperma sp. ;Pterosperma_sp._C;Pterosperma;Prasinophyceae;OUT;phytoplankton;green algae;162 NAs, summed carbon of 3.794
Pyramimonas longicauda ;P._longicauda_C;Pyramimonas;Pyramimonadophyceae;OUT;phytoplankton;green algae;224 NAs, summed carbon of 4.75
Pyrocystis noctiluca ;P._noctiluca_C;Pyrocystis;Dinophyceae;dinoflagellate;protozooplankton;;
Rhaphoneis amphiceros ;R._amphiceros_C;Rhaphoneis;Bacillariophyceae;diatom;phytoplankton;;
Rhizosolenia imbricata ;R._imbricata_C;Rhizosolenia;Bacillariophyceae;diatom;phytoplankton;;
Rhizosolenia setigera ;R._setigera_C;Rhizosolenia;Bacillariophyceae;diatom;phytoplankton;;
Rhizosolenia styliformis ;R._styliformis_C;Rhizosolenia;Bacillariophyceae;diatom;phytoplankton;;
Scrippsiella sp. ;Scrippsiella_sp._C;Scrippsiella;Dinophyceae;dinoflagellate;protozooplankton;;
Skeletonema sp. ;Skeletonema_sp._C;Skeletonema;Bacillariophyceae;diatom;phytoplankton;;
Subsilicea fragilarioides ;S._fragilarioides_C;Subsilicea;Bacillariophyceae;diatom;phytoplankton;;
Synedra sp. ;Synedra_sp._C;Synedra;Bacillariophyceae;diatom;phytoplankton;;
Thalassionema nitzschioides ;T._nitzschioides_C;Thalassionema;Bacillariophyceae;diatom;phytoplankton;;
Thalassiosira curviseriata ;T._curviseriata_C;Thalassiosira;Bacillariophyceae;diatom;phytoplankton;;
Thalassiosira decipiens ;T._decipiens_C;Thalassiosira;Bacillariophyceae;diatom;phytoplankton;;
Thalassiosira nordenskioeldii ;T._nordenskioeldii_C;Thalassiosira;Bacillariophyceae;diatom;phytoplankton;;
Thalassiosira punctigera ;T._punctigera_C;Thalassiosira;Bacillariophyceae;diatom;phytoplankton;;
Thalassiosira rotula ;T._rotula_C;Thalassiosira;Bacillariophyceae;diatom;phytoplankton;;
Thalassiosira sp. ;Thalassiosira_sp._C;Thalassiosira;Bacillariophyceae;diatom;phytoplankton;;
Tiarina fusus ;T._fusus_C;Tiarina;Prostomatea;ciliate;protozooplankton;;
Tintinnopsis sp. ;Tintinnopsis_sp._C;Tintinnopsis;Oligotrichea;ciliate;protozooplankton;;
Torodinium robustum ;T._robustum_C;Torodinium;Dinophyceae;dinoflagellate;protozooplankton;;
Indeterminable: unknown ;unknown_C;Indeterminable:;NA;OUT;protozooplankton;???;?
Cerataulus smithii ;C._smithii_C;Cerataulus;Bacillariophyceae;diatom;phytoplankton;;
Ceratium furca ;C._furca_C;Ceratium;Dinophyceae;dinoflagellate;protozooplankton;;
Chaetoceros curvisetus ;C._curvisetus_C;Chaetoceros;Dinophyceae;dinoflagellate;protozooplankton;;
Dinophyceae indeterminata, athecate ;Dinophy_indet_athecate_C;Dinophyceae;Dinophyceae;dinoflagellate;protozooplankton;;
Dinophyceae indeterminata, thecate ;Dinophy_indet_thecate_C;Dinophyceae;Dinophyceae;dinoflagellate;protozooplankton;;
Eutreptiella marina ;E._marina_C;Eutreptiella;Euglenoidea;heterotrophic flagellate;protozooplankton;?? (heterotrophic flagellate);"58 NAs, summed carbon of 11.186; may be grouped to het. Flagellate"
Gonyaulax sp. ;Gonyaulax_sp._C;Gonyaulax;Dynophyceae;dinoflagellate;protozooplankton;;
Oblea sp. ;Oblea_sp._C;Oblea;Dynophyceae;dinoflagellate;protozooplankton;;
Pronoctiluca pelagica ;P._pelagica_C;Pronoctiluca;Dynophyceae;dinoflagellate;protozooplankton;;
Prorocentrum triestinum ;P._triestinum_C;Prorocentrum;Dynophyceae;dinoflagellate;protozooplankton;;
Protoperidinium oblongum ;P._oblongum_C;Protoperidinium;Dynophyceae;dinoflagellate;protozooplankton;;
Pseudo-nitzschia pungens ;P-n_pungens_C;Pseudo-nitzschia;Bacillariophyceae;diatom;phytoplankton;;
Scenedesmus sp. ;Scenedesmus_sp._C;Scenedesmus;Chlorophyceae;OUT;phytoplankton;green algae;332 NAs, summed carbon of 0.16
Spatulodinium pseudonoctiluca ;S._pseudonoctiluca_C;Spatulodinium;Dinophyceae;dinoflagellate;protozooplankton;;
Stephanopyxis turris ;S._turris_C;Stephanopyxis;Bacillariophyceae;diatom;phytoplankton;;
Strombidium sp. ;Strombidium_sp._C;Strombidium;Oligotrichea;ciliate;protozooplankton;;
Tetraselmis sp. ;Tetraselmis_sp._C;Tetraselmis;Chlorodendrophyceae;OUT;phytoplankton;green algae;332 NAs, summed carbon of 1.02
Thalassiosira eccentrica ;T._eccentrica_C;Thalassiosira;Bacillariophyceae;diatom;phytoplankton;;
Achnanthes taeniata ;A._taeniata_C;Achnanthes;Bacillariophyceae;diatom;phytoplankton;;
Balanion sp. ;Balanion_sp._C;Balanion;Prostomatea;ciliate;protozooplankton;;
Choanoflagellatea indeterminata ;Choanoflag_indet_C;Choanoflagellatea;NA;heterotrophic flagellate;protozooplankton;?? (protist: heterotroph/autotroph?);"169 NAs, summed carbon of 5.009; may be grouped to het. Flagellates"
Strobilidium sp.  ;Strobilidium_sp._C;Strobilidium;Oligotrichea;ciliate;protozooplankton;;
Cothurnia sp. ;Cothurnia_sp._C;Cothurnia;Oligohymenophorea;ciliate;protozooplankton;;
Dinophysis acuta ;D._acuta_C;Dinophysis;Dinophyceae;dinoflagellate;protozooplankton;;
Flagellates indeterminata, ellipsoid ;Flag_indet_ellipsoid_C;Flagellates;NA;heterotrophic flagellate;protozooplankton;?? (protist:algae/heterotroph);113 NAs, may be grouped to het. Flagellates
Flagellates indeterminata, sphere ;Flag_indet_sphere_C;Flagellates;NA;heterotrophic flagellate;protozooplankton;?? (protist:algae/heterotroph);113 NAs, may be grouped to het. Flagellates
Fragilaria sp. ;Fragilaria_sp._C;Fragilaria;Bacillariophyceae;diatom;phytoplankton;;
Gyrosigma sp. ;Gyrosigma_sp._C;Gyrosigma;Bacillariophyceae;diatom;phytoplankton;;
Heterocapsa sp. ;Heterocapsa_sp._C;Heterocapsa;Dinophyceae;dinoflagellate;protozooplankton;;
Katodinium sp. ;Katodinium_sp._C;Katodinium;Dinophyceae;dinoflagellate;protozooplankton;;
Licmophora sp. ;Licmophora_sp._C;Licmophora;Bacillariophyceae;diatom;phytoplankton;;
Mediopyxis helysia ;M._helysia_C;Mediopyxis;Khakista incertae cedis;diatom;phytoplankton;non-indigenous, dominant;
Mesoporos sp. ;Mesoporos_sp._C;Mesoporos;Dinophyceae;dinoflagellate;protozooplankton;;
Odontella sp. ;Odontella_sp._C;Odontella;Bacillariophyceae;diatom;phytoplankton;;
Pediastrum sp. ;Pediastrum_sp._C;Pediastrum;Chlorophyceae;OUT;phytoplankton;green algae;277 NAs, summed carbon of 2.11
Plagiogramma sp. ;Plagiogramma_sp._C;Plagiogramma;Bacillariophyceae;diatom;phytoplankton;;
Protoperidinium denticulatum ;P._denticulatum_C;Protoperidinium;Dinophyceae;dinoflagellate;protozooplankton;;
Protoperidinium depressum ;P._depressum_C;Protoperidinium;Dinophyceae;dinoflagellate;protozooplankton;;
Pyramimonas sp. ;Pyramimonas_sp._C;Pyramimonas;Pyramimonadophyceae;OUT;phytoplankton;green algae;277 NAs, summed carbon of 0.29
Rhizosolenia setigera forma pungens ;R._setigera_f_pungens_C;Rhizosolenia;Bacillariophyceae;diatom;phytoplankton;;
Rhizosolenia sp. ;Rhizosolenia_sp._C;Rhizosolenia;Bacillariophyceae;diatom;phytoplankton;;
Thalassiosira minima ;T._minima_C;Thalassiosira;Bacillariophyceae;diatom;phytoplankton;;
Attheya sp. ;Attheya_sp._C;Attheya;Bacillariophyceae;diatom;phytoplankton;;
Bacteriastrum sp. ;Bacteriastrum_sp._C;Bacteriastrum;Bacillariophyceae;diatom;phytoplankton;;
Coscinodiscophyceae indeterminata ;Coscinodiscophyceae_indet_C;Coscinodiscophyceae;Bacillariophyceae;diatom;phytoplankton;;
Coscinodiscus wailesii ;C._wailesii_C;Coscinodiscus;Bacillariophyceae;diatom;phytoplankton;;
Didinium sp. ;Didinium_sp._C;Didinium;Litostomatea;ciliate;protozooplankton;;
Dinophysis sp. ;Dinophysis_sp._C;Dinophysis;Dinophyceae;dinoflagellate;protozooplankton;;
Euglenophyceae indeterminata ;Euglenophyceae_indet_C;Euglenophyceae;Euglenophyceae;heterotrophic flagellate;protozooplankton;??(flagellate:photo-/heterotroph);327 NAs, summed carbon of 3.52
Flagellates indeterminata, cone ;Flag_indet_cone_C;Flagellates;NA;heterotrophic flagellate;protozooplankton;??;327 NAs, may be grouped to het. Flagellates
Fragilaria oblonga ;F._oblonga_C;Fragilaria;Bacillariophyceae;diatom;phytoplankton;;
Gyrosigma ;Gyrosigma_C;Gyrosigma;Bacillariophyceae;diatom;phytoplankton;;
Helicostomella sp. ;Helicostomella_sp._C;Helicostomella;Oligotrichea;ciliate;protozooplankton;;
Heterocapsa rotundata ;H._rotundata_C;Heterocapsa;Dinophyceae;dinoflagellate;protozooplankton;;
Karenia sp. ;Karenia_sp._C;Karenia;Dinophyceae;dinoflagellate;protozooplankton;;
Katodinium glaucum ;K._glaucum_C;Katodinium;Dinophyceae;dinoflagellate;protozooplankton;;
Nitzschia reversa ;N._reversa_C;Nitzschia;Bacillariophyceae;diatom;phytoplankton;;
Odontella aurita var. minima ;O._aurita_var._minima_C;Odontella;Bacillariophyceae;diatom;phytoplankton;;
Prasinophyceae indeterminata ;Prasinophyceae_indet_C;Prasinophyceae;Prasinophyceae;OUT;phytoplankton;green algae;327 NAs, summed carbon of 6.04
Pronoctiluca sp. ;Pronoctiluca_sp._C;Pronoctiluca;Dinophyceae;dinoflagellate;protozooplankton;;
Prorocentrum minimum ;P._minimum_C;Prorocentrum;Dinophyceae;dinoflagellate;protozooplankton;;
Surirella sp. ;Surirella_sp._C;Surirella;Bacillariophyceae;diatom;phytoplankton;;
Tabellaria sp. ;Tabellaria_sp._C;Tabellaria;Bacillariophyceae;diatom;phytoplankton;;
Amphidinium crassum ;A._crassum_C;Amphidinium;Dinophyceae;dinoflagellate;protozooplankton;;
Tintinnid ciliates ;T._ciliates_C;Tintinnid;Spirotrichea;ciliate;protozooplankton;;
Dictyosphaerium sp. ;Dictyosphaerium_sp._C;Dictyosphaerium;Trebouxiophyceae;OUT;phytoplankton;green algae;331 NAs, summed carbon of 0.598
Diplopsalis complex ;D._complex_C;Diplopsalis;Dinophyceae;dinoflagellate;protozooplankton;;
Euplotes sp. ;Euplotes_sp._C;Euplotes;Spirotrichea;ciliate;protozooplankton;;
Polykrikos schwarzii ;P._schwarzii_C;Polykrikos;Dinophyceae;dinoflagellate;protozooplankton;;
Attheya septentrionalis ;A._septentrionalis_C;Attheya;Bacillariophyceae;diatom;phytoplankton;;
Ceratium tripos ;C._tripos_C;Ceratium;Dinophyceae;dinoflagellate;protozooplankton;;
Lennoxia sp. ;Lennoxia_sp._C;Lennoxia;Bacillariophyceae;diatom;phytoplankton;;
Oocystis sp. ;Oocystis_sp._C;Oocystis;Trebouxiophyceae;OUT;phytoplankton;green algae;279 NAs, summed carbon of 0.109
Oscillatoria sp. ;Oscillatoria_sp._C;Oscillatoria;Cyanophyceae;OUT;protozooplankton;cyanobacteria;335 NAs
Prymnesiophyta indeterminata ;Prymnesiophyta_indet_C;Prymnesiophyta;Prymnesiophyceae;OUT;phytoplankton;haptophyte;335 NAs, summed carbon of 0.75
Gyrosigma fasciola ;G._fasciola_C;Gyrosigma;Bacillariophyceae;diatom;phytoplankton;;
Skeletonema costatum ;S._costatum_C;Skeletonema;Bacillariophyceae;diatom;phytoplankton;;
