;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria ;
Station 1;01.07.2021;53,03000;8,46000;surface - 1m;Petra Kadel;44;0;0;0;8;0;1;0;0;1;1;0;0;0;0;4;0;4;0;24;0;0;0;
Station 1;05.07.2021;53,03000;8,46000;surface - 1m;Petra Kadel;69;0;0;0;46;0;0;0;0;4;0;1;0;0;0;5;0;38;0;10;0;0;0;
Station 1;08.07.2021;53,03000;8,46000;surface - 1m;Petra Kadel;35;1;0;1;53;0;0;0;5;4;1;10;3;0;0;1;0;46;0;4;0;0;0;
Station 1;12.07.2021;53,03000;8,46000;surface - 1m;Petra Kadel;12;0;0;2;27;0;0;0;4;4;6;2;0;0;0;0;1;24;0;0;0;0;0;
Station 1;15.07.2021;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;18;0;0;0;0;0;5;4;0;0;0;0;0;11;0;0;0;0;0;
Station 1;19.07.2021;53,03000;8,46000;surface - 1m;Petra Kadel;62;0;0;0;67;0;0;0;0;2;6;6;1;0;0;0;0;10;0;0;0;0;0;
Station 1;22.07.2021;53,03000;8,46000;surface - 1m;Petra Kadel;188;0;0;0;92;0;0;0;1;3;9;4;1;0;0;0;1;11;0;0;0;0;0;
Station 1;26.07.2021;53,03000;8,46000;surface - 1m;Petra Kadel;94;0;0;1;31;0;0;0;0;2;1;5;2;0;0;6;0;46;0;0;0;0;0;
Station 1;28.07.2021;53,03000;8,46000;surface - 1m;Petra Kadel;29;0;0;0;36;0;0;0;0;1;1;3;0;0;0;1;0;34;0;1;0;0;0;
;29.07.2021;53,03000;8,46000;surface - 1m;Petra Kadel;151;0;0;0;59;0;0;0;1;2;3;7;1;0;0;2;0;32;0;0;0;0;0;
Station 1;02.08.2021;53,03000;8,46000;surface - 1m;Petra Kadel;74;0;0;0;25;0;0;2;0;2;1;2;0;0;0;0;0;41;0;0;0;0;0;
Station 1;09.08.2021;53,03000;8,46000;surface - 1m;Petra Kadel;134;0;0;0;22;0;0;3;4;3;5;6;0;0;0;2;0;45;0;0;0;1;0;
Station 1;12.08.2021;53,03000;8,46000;surface - 1m;Petra Kadel;24;0;0;0;35;0;0;0;1;1;0;0;1;0;0;1;0;11;0;0;0;0;0;
Station 1;16.08.2021;53,03000;8,46000;surface - 1m;Petra Kadel;27;0;0;0;28;0;0;0;0;1;1;0;0;0;0;0;0;24;0;0;0;0;0;
Station 1;19.08.2021;53,03000;8,46000;surface - 1m;Petra Kadel;19;0;0;0;63;0;0;0;0;0;3;0;0;0;0;0;0;12;0;0;0;0;0;
Station 1;23.08.2021;53,03000;8,46000;surface - 1m;Petra Kadel;36;0;0;0;45;0;0;0;1;4;1;0;0;0;0;0;0;15;0;0;0;0;0;
Station 1;26.08.2021;53,03000;8,46000;surface - 1m;Petra Kadel;51;0;0;3;97;0;0;0;3;2;0;3;1;0;0;1;0;31;0;0;0;0;0;
Station 1;30.08.2021;53,03000;8,46000;surface - 1m;Petra Kadel;88;0;0;1;70;0;0;0;0;2;0;0;0;0;0;1;0;40;0;0;0;0;1;
Station 1;02.09.2021;53,03000;8,46000;surface - 1m;Petra Kadel;66;0;0;0;38;0;0;0;0;0;0;1;0;0;0;0;0;71;0;0;0;0;0;
Station 1;06.09.2021;53,03000;8,46000;surface - 1m;Petra Kadel;32;0;0;0;46;0;0;0;0;0;0;1;0;0;0;0;0;22;3;0;0;0;0;
Station 1;09.09.2021;53,03000;8,46000;surface - 1m;Petra Kadel;18;0;0;0;34;0;0;0;0;4;1;0;0;0;0;0;0;39;0;0;0;0;0;
Station 1;13.09.2021;53,03000;8,46000;surface - 1m;Petra Kadel;18;0;0;0;34;0;0;0;0;4;1;0;0;0;0;0;0;39;0;0;0;0;0;
Station 1;16.09.2021;53,03000;8,46000;surface - 1m;Petra Kadel;13;0;0;2;41;0;0;0;0;1;2;1;1;0;0;0;0;44;3;0;0;0;0;
Station 1;20.09.2021;53,03000;8,46000;surface - 1m;Petra Kadel;51;0;0;0;20;0;0;0;0;1;0;0;1;0;0;0;0;42;1;0;0;0;0;
Station 1;23.09.2021;53,03000;8,46000;surface - 1m;Petra Kadel;53;0;0;2;88;0;0;0;0;0;0;1;1;0;0;0;0;20;2;0;0;0;0;
Station 1;27.09.2021;53,03000;8,46000;surface - 1m;Petra Kadel;22;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;26;7;0;0;0;0;
Station 1;04.10.2021;53,03000;8,46000;surface - 1m;Petra Kadel;17;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
Station 1;07.10.2021;53,03000;8,46000;surface - 1m;Petra Kadel;82;0;0;1;30;0;0;0;0;1;1;1;1;0;0;0;0;3;0;0;0;0;0;
Station 1;11.10.2021;53,03000;8,46000;surface - 1m;Petra Kadel;34;0;0;1;29;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;
Station 1;14.10.2021;53,03000;8,46000;surface - 1m;Petra Kadel;12;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
Station 1;19.10.2021;53,03000;8,46000;surface - 1m;Petra Kadel;54;0;0;0;15;0;0;0;0;0;0;5;0;0;0;0;0;29;1;0;0;0;0;
Station 1;21.10.2021;53,03000;8,46000;surface - 1m;Petra Kadel;25;0;0;0;12;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;
Station 1;25.10.2021;53,03000;8,46000;surface - 1m;Petra Kadel;41;0;0;0;17;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;
Station 1;28.10.2021;53,03000;8,46000;surface - 1m;Petra Kadel;14;0;0;1;14;0;0;0;0;0;1;1;0;0;0;0;0;1;4;0;0;0;0;
Station 1;01.11.2021;53,03000;8,46000;surface - 1m;Petra Kadel;14;0;0;1;5;0;0;0;0;0;1;7;0;0;0;0;0;2;1;0;0;0;0;
Station 1;04.11.2021;53,03000;8,46000;surface - 1m;Petra Kadel;12;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;7;2;0;0;0;0;
Station 1;08.11.2021;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;
Station 1;11.11.2021;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
Station 1;15.11.2021;53,03000;8,46000;surface - 1m;Petra Kadel;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;
Station 1;18.11.2021;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;
Station 1;22.11.2021;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
Station 1;25.11.2021;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;29.11.2021;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
