;;;;;;Bivalvia ;Obelia;Ctenophora;Beroe;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pandalus;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Station 1;09.07.2014;53,03000;8,46000;surface - 1m;Petra Kadel;82;1;0;0;0;50;0;0;0;0;0;1;0;0;0;0;0;0;0;39;0;0;0;0;0
Station 1;17.07.2014;53,03000;8,46000;surface - 1m;Petra Kadel;107;0;0;0;0;42;0;0;0;0;0;1;0;0;0;0;0;0;0;47;0;1;1;0;0
Station 1;21.07.2014;53,03000;8,46000;surface - 1m;Petra Kadel;103;0;0;0;0;33;0;0;0;0;0;1;1;0;0;0;0;0;0;40;0;0;0;0;0
Station 1;23.07.2014;53,03000;8,46000;surface - 1m;Petra Kadel;183;0;0;0;0;114;0;0;0;0;0;2;1;0;0;0;0;0;0;10;0;0;0;0;0
Station 1;28.07.2014;53,03000;8,46000;surface - 1m;Petra Kadel;131;0;0;0;0;33;0;0;0;0;0;3;0;0;0;0;0;0;0;7;0;0;0;0;0
Station 1;30.07.2014;53,03000;8,46000;surface - 1m;Petra Kadel;205;0;0;0;0;21;0;0;0;0;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0
Station 1;06.08.2014;53,03000;8,46000;surface - 1m;Petra Kadel;118;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;25.08.2014;53,03000;8,46000;surface - 1m;Petra Kadel;26;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
Station 1;28.08.2014;53,03000;8,46000;surface - 1m;Petra Kadel;108;0;0;0;0;91;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;01.09.2014;53,03000;8,46000;surface - 1m;Petra Kadel;108;0;0;0;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0
Station 1;03.09.2014;53,03000;8,46000;surface - 1m;Petra Kadel;116;0;0;0;0;48;0;0;0;0;0;0;2;0;0;0;0;0;0;25;1;0;0;0;0
Station 1;08.09.2014;53,03000;8,46000;surface - 1m;Petra Kadel;150;1;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0
Station 1;10.09.2014;53,03000;8,46000;surface - 1m;Petra Kadel;163;1;0;0;0;78;0;0;0;0;0;0;1;0;0;0;0;0;0;14;0;0;0;0;0
Station 1;17.09.2014;53,03000;8,46000;surface - 1m;Petra Kadel;121;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0
Station 1;19.09.2014;53,03000;8,46000;surface - 1m;Petra Kadel;139;1;0;0;0;37;0;0;0;0;0;0;1;0;0;0;0;1;0;4;0;0;0;0;0
Station 1;25.09.2014;53,03000;8,46000;surface - 1m;Petra Kadel;311;0;0;0;0;60;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0
Station 1;29.09.2014;53,03000;8,46000;surface - 1m;Petra Kadel;194;1;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
Station 1;01.10.2014;53,03000;8,46000;surface - 1m;Petra Kadel;256;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Station 1;16.10.2014;53,03000;8,46000;surface - 1m;Petra Kadel;494;0;0;0;3;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;20.10.2014;53,03000;8,46000;surface - 1m;Petra Kadel;238;0;0;0;0;23;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;1;0;0;0
Station 1;27.10.2014;53,03000;8,46000;surface - 1m;Petra Kadel;424;0;0;1;1;13;0;0;0;0;1;0;0;0;0;0;0;0;0;4;1;1;0;0;0
Station 1;29.10.2014;53,03000;8,46000;surface - 1m;Petra Kadel;338;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
Station 1;03.11.2014;53,03000;8,46000;surface - 1m;Petra Kadel;309;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Station 1;05.11.2014;53,03000;8,46000;surface - 1m;Petra Kadel;123;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Station 1;12.11.2014;53,03000;8,46000;surface - 1m;Petra Kadel;79;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Station 1;27.11.2014;53,03000;8,46000;surface - 1m;Petra Kadel;20;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;08.12.2014;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
