Year;Month;Date;Station;number of hauls (benthic);number of hauls (pelagic);notes;;
2009;6;not sampled;Sylt-8;0;0;;;
2009;6;not sampled;Sylt-9;0;0;;;
2009;7;13.07.2009;Sylt-1;1;1;;;
2009;7;13.07.2009;Sylt-2;1;1;;;
2009;7;13.07.2009;Sylt-3;1;0;;;
2009;7;13.07.2009;Sylt-4;1;1;;;
2009;7;14.07.2009;Sylt-5;1;0;;;
2009;7;14.07.2009;Sylt-6;1;1;;;
2009;7;14.07.2009;Sylt-7;1;0;;;
2009;7;13.07.2009;Sylt-8;1;1;;;
2009;7;14.07.2009;Sylt-9;1;1;;;
2009;8;11.08.2009;Sylt-1;1;1;;;
2009;8;11.08.2009;Sylt-2;1;1;;;
2009;8;11.08.2009;Sylt-3;1;0;;;
2009;8;11.08.2009;Sylt-4;1;1;;;
2009;8;12.08.2009;Sylt-5;1;0;;;
2009;8;25.08.2009;Sylt-6;1;1;;;
2009;8;25.08.2009;Sylt-7;1;0;;;
2009;8;not sampled;Sylt-8;0;0;;;
2009;8;not sampled;Sylt-9;0;0;;;
2009;9;21.09.2009;Sylt-1;1;1;;;
2009;9;21.09.2009;Sylt-2;1;1;;;
2009;9;21.09.2009;Sylt-3;1;0;;;
2009;9;21.09.2009;Sylt-4;1;1;;;
2009;9;22.09.2009;Sylt-5;1;0;;;
2009;9;22.09.2009;Sylt-6;1;1;;;
2009;9;22.09.2009;Sylt-7;1;0;;;
2009;9;not sampled;Sylt-8;0;0;;;
2009;9;not sampled;Sylt-9;0;0;;;
2009;10;19.10.2009;Sylt-1;1;1;;;
2009;10;19.10.2009;Sylt-2;1;1;;;
2009;10;19.10.2009;Sylt-3;1;0;;;
2009;10;19.10.2009;Sylt-4;1;1;;;
2009;10;20.10.2009;Sylt-5;1;0;;;
2009;10;20.10.2009;Sylt-6;1;1;;;
2009;10;20.10.2009;Sylt-7;1;0;;;
2009;10;19.10.2009;Sylt-8;1;1;;;
2009;10;20.10.2009;Sylt-9;1;1;;;
2009;11;16.11.2009;Sylt-1;1;1;;;
2009;11;16.11.2009;Sylt-2;1;1;;;
2009;11;16.11.2009;Sylt-3;1;0;;;
2009;11;16.11.2009;Sylt-4;1;1;;;
2009;11;17.11.2009;Sylt-5;1;0;;;
2009;11;17.11.2009;Sylt-6;1;1;;;
2009;11;17.11.2009;Sylt-7;1;0;;;
2009;11;not sampled;Sylt-8;0;0;;;
2009;11;not sampled;Sylt-9;0;0;;;
2009;12;07.12.2009;Sylt-1;1;1;;;
2009;12;07.12.2009;Sylt-2;1;1;;;
2009;12;07.12.2009;Sylt-3;1;0;;;
2009;12;07.12.2009;Sylt-4;1;1;;;
2009;12;08.12.2009;Sylt-5;1;0;;;
2009;12;08.12.2009;Sylt-6;1;1;;;
2009;12;08.12.2009;Sylt-7;1;0;;;
2009;12;not sampled;Sylt-8;0;0;;;
2009;12;not sampled;Sylt-9;0;0;;;
2010;1;not sampled;Sylt-1;0;0;ice;;
2010;1;not sampled;Sylt-2;0;0;ice;;
2010;1;not sampled;Sylt-3;0;0;ice;;
2010;1;not sampled;Sylt-4;0;0;ice;;
2010;1;not sampled;Sylt-5;0;0;ice;;
2010;1;not sampled;Sylt-6;0;0;ice;;
2010;1;not sampled;Sylt-7;0;0;ice;;
2010;1;not sampled;Sylt-8;0;0;ice;;
2010;1;not sampled;Sylt-9;0;0;ice;;
2010;2;not sampled;Sylt-1;0;0;ice;;
2010;2;not sampled;Sylt-2;0;0;ice;;
2010;2;not sampled;Sylt-3;0;0;ice;;
2010;2;not sampled;Sylt-4;0;0;ice;;
2010;2;not sampled;Sylt-5;0;0;ice;;
2010;2;not sampled;Sylt-6;0;0;ice;;
2010;2;not sampled;Sylt-7;0;0;ice;;
2010;2;not sampled;Sylt-8;0;0;ice;;
2010;2;not sampled;Sylt-9;0;0;ice;;
2010;3;16.03.2010;Sylt-1;1;1;;;
2010;3;16.03.2010;Sylt-2;1;1;;;
2010;3;16.03.2010;Sylt-3;1;0;;;
2010;3;16.03.2010;Sylt-4;1;1;;;
2010;3;17.03.2010;Sylt-5;1;0;;;
2010;3;17.03.2010;Sylt-6;1;1;;;
2010;3;17.03.2010;Sylt-7;1;0;;;
2010;3;16.03.2010;Sylt-8;1;1;;;
2010;3;17.03.2010;Sylt-9;1;1;;;
2010;4;06.04.2010;Sylt-1;1;1;;;
2010;4;06.04.2010;Sylt-2;1;1;;;
2010;4;06.04.2010;Sylt-3;1;0;;;
2010;4;06.04.2010;Sylt-4;1;1;;;
2010;4;07.04.2010;Sylt-5;1;0;;;
2010;4;07.04.2010;Sylt-6;1;1;;;
2010;4;07.04.2010;Sylt-7;1;0;;;
2010;4;not sampled;Sylt-8;0;0;;;
2010;4;not sampled;Sylt-9;0;0;;;
2010;5;18.05.2010;Sylt-1;1;1;;;
2010;5;18.05.2010;Sylt-2;1;1;;;
2010;5;18.05.2010;Sylt-3;1;0;;;
2010;5;19.05.2010;Sylt-4;1;1;;;
2010;5;19.05.2010;Sylt-5;1;0;;;
2010;5;19.05.2010;Sylt-6;1;1;;;
2010;5;19.05.2010;Sylt-7;1;0;;;
2010;5;not sampled;Sylt-8;0;0;;;
2010;5;not sampled;Sylt-9;0;0;;;
2010;6;14.06.2010;Sylt-1;1;1;;;
2010;6;14.06.2010;Sylt-2;1;1;;;
2010;6;14.06.2010;Sylt-3;1;0;;;
2010;6;15.06.2010;Sylt-4;1;1;;;
2010;6;15.06.2010;Sylt-5;1;0;;;
2010;6;15.06.2010;Sylt-6;1;1;;;
2010;6;15.06.2010;Sylt-7;1;0;;;
2010;6;14.06.2010;Sylt-8;1;1;;;
2010;6;15.06.2010;Sylt-9;1;1;;;
2010;7;13.07.2010;Sylt-1;1;1;;;
2010;7;13.07.2010;Sylt-2;1;1;;;
2010;7;13.07.2010;Sylt-3;1;0;;;
2010;7;13.07.2010;Sylt-4;1;1;;;
2010;7;14.07.2010;Sylt-5;1;0;;;
2010;7;14.07.2010;Sylt-6;1;1;;;
2010;7;14.07.2010;Sylt-7;1;0;;;
2010;7;not sampled;Sylt-8;0;0;;;
2010;7;not sampled;Sylt-9;0;0;;;
2010;8;17.08.2010;Sylt-1;1;1;;;
2010;8;17.08.2010;Sylt-2;1;1;;;
2010;8;17.08.2010;Sylt-3;1;0;;;
2010;8;17.08.2010;Sylt-4;1;1;;;
2010;8;18.08.2010;Sylt-5;1;0; ;;
2010;8;18.08.2010;Sylt-6;1;1;;;
2010;8;18.08.2010;Sylt-7;1;0;;;
2010;8;not sampled;Sylt-8;0;0;;;
2010;8;not sampled;Sylt-9;0;0;;;
2010;9;13.09.2010;Sylt-1;1;1;;;
2010;9;13.09.2010;Sylt-2;1;1;;;
2010;9;13.09.2010;Sylt-3;1;0;;;
2010;9;13.09.2010;Sylt-4;1;1;;;
2010;9;14.09.2010;Sylt-5;1;0;;;
2010;9;14.09.2010;Sylt-6;1;1;;;
2010;9;14.09.2010;Sylt-7;1;0;;;
2010;9;not sampled;Sylt-8;0;0;;;
2010;9;not sampled;Sylt-9;0;0;;;
2010;10;13.10.2010;Sylt-1;1;1;;;
2010;10;13.10.2010;Sylt-2;1;1;;;
2010;10;13.10.2010;Sylt-3;1;0;;;
2010;10;13.10.2010;Sylt-4;1;1;;;
2010;10;14.10.2010;Sylt-5;1;0;;;
2010;10;14.10.2010;Sylt-6;1;1;;;
2010;10;14.10.2010;Sylt-7;1;0;;;
2010;10;not sampled;Sylt-8;0;0;;;
2010;10;not sampled;Sylt-9;0;0;;;
2010;11;17.11.2010;Sylt-1;1;1;;;
2010;11;17.11.2010;Sylt-2;1;1;;;
2010;11;17.11.2010;Sylt-3;1;0;;;
2010;11;17.11.2010;Sylt-4;1;1;;;
2010;11;17.11.2010;Sylt-5;1;0;;;
2010;11;18.11.2010;Sylt-6;1;1;;;
2010;11;18.11.2010;Sylt-7;1;0;;;
2010;11;not sampled;Sylt-8;0;0;;;
2010;11;not sampled;Sylt-9;0;0;;;
2010;12;not sampled;Sylt-1;0;0;ice;;
2010;12;not sampled;Sylt-2;0;0;ice;;
2010;12;not sampled;Sylt-3;0;0;ice;;
2010;12;not sampled;Sylt-4;0;0;ice;;
2010;12;not sampled;Sylt-5;0;0;ice;;
2010;12;not sampled;Sylt-6;0;0;ice;;
2010;12;not sampled;Sylt-7;0;0;ice;;
2010;12;not sampled;Sylt-8;0;0;ice;;
2010;12;not sampled;Sylt-9;0;0;ice;;
2011;1;17.01.2011;Sylt-1;1;1;;;
2011;1;17.01.2011;Sylt-2;1;1;;;
2011;1;17.01.2011;Sylt-3;1;0;;;
2011;1;17.01.2011;Sylt-4;1;1;;;
2011;1;18.01.2011;Sylt-5;1;0;;;
2011;1;18.01.2011;Sylt-6;1;1;;;
2011;1;18.01.2011;Sylt-7;1;0;;;
2011;1;not sampled;Sylt-8;0;0;;;
2011;1;not sampled;Sylt-9;0;0;;;
2011;2;not sampled;Sylt-1;0;0;ice;;
2011;2;not sampled;Sylt-2;0;0;ice;;
2011;2;not sampled;Sylt-3;0;0;ice;;
2011;2;not sampled;Sylt-4;0;0;ice;;
2011;2;not sampled;Sylt-5;0;0;ice;;
2011;2;not sampled;Sylt-6;0;0;ice;;
2011;2;not sampled;Sylt-7;0;0;ice;;
2011;2;not sampled;Sylt-8;0;0;ice;;
2011;2;not sampled;Sylt-9;0;0;ice;;
2011;3;08.03.2011;Sylt-1;1;1;;;
2011;3;08.03.2011;Sylt-2;1;1;;;
2011;3;08.03.2011;Sylt-3;1;0;;;
2011;3;08.03.2011;Sylt-4;1;1;;;
2011;3;09.03.2011;Sylt-5;1;0;;;
2011;3;09.03.2011;Sylt-6;1;1;;;
2011;3;09.03.2011;Sylt-7;1;0;;;
2011;3;not sampled;Sylt-8;0;0;;;
2011;3;not sampled;Sylt-9;0;0;;;
2011;4;not sampled;Sylt-1;0;0;storm;;
2011;4;not sampled;Sylt-2;0;0;storm;;
2011;4;12.04.2011;Sylt-3;1;0;;;
2011;4;not sampled;Sylt-4;0;0;storm;;
2011;4;12.04.2011;Sylt-5;1;0;;;
2011;4;not sampled;Sylt-6;0;0;storm;;
2011;4;not sampled;Sylt-7;0;0;storm;;
2011;4;not sampled;Sylt-8;0;0;storm;;
2011;4;not sampled;Sylt-9;0;0;storm;;
2011;5;16.05.2011;Sylt-1;1;1;;;
2011;5;16.05.2011;Sylt-2;1;1;;;
2011;5;16.05.2011;Sylt-3;1;0;;;
2011;5;16.05.2011;Sylt-4;1;1;;;
2011;5;17.05.2011;Sylt-5;1;0;;;
2011;5;17.05.2011;Sylt-6;1;1;;;
2011;5;17.05.2011;Sylt-7;1;0;;;
2011;5;not sampled;Sylt-8;0;0;;;
2011;5;not sampled;Sylt-9;0;0;;;
2011;6;20.06.2011;Sylt-1;1;1;;;
2011;6;20.06.2011;Sylt-2;0;1;;;
2011;6;22.06.2011;Sylt-2;1;0;;;
2011;6;22.06.2011;Sylt-3;1;0;;;
2011;6;22.06.2011;Sylt-4;1;1;;;
2011;6;22.06.2011;Sylt-5;1;0;;;
2011;6;22.06.2011;Sylt-6;1;1;;;
2011;6;22.06.2011;Sylt-7;1;0;;;
2011;6;not sampled;Sylt-8;0;0;;;
2011;6;not sampled;Sylt-9;0;0;;;
2011;7;13.07.2011;Sylt-1;1;1;;;
2011;7;13.07.2011;Sylt-2;1;1;;;
2011;7;13.07.2011;Sylt-3;1;0;;;
2011;7;13.07.2011;Sylt-4;1;1;;;
2011;7;14.07.2011;Sylt-5;1;0;;;
2011;7;14.07.2011;Sylt-6;1;1;;;
2011;7;14.07.2011;Sylt-7;1;0;;;
2011;7;not sampled;Sylt-8;0;0;;;
2011;7;not sampled;Sylt-9;0;0;;;
2011;8;16.08.2011;Sylt-1;1;1;;;
2011;8;16.08.2011;Sylt-2;1;1;;;
2011;8;16.08.2011;Sylt-3;1;0;;;
2011;8;16.08.2011;Sylt-4;1;1;;;
2011;8;17.08.2011;Sylt-5;1;0; ;;
2011;8;17.08.2011;Sylt-6;1;1;;;
2011;8;17.08.2011;Sylt-7;1;0;;;
2011;8;not sampled;Sylt-8;0;0;;;
2011;8;not sampled;Sylt-9;0;0;;;
2011;9;26.09.2011;Sylt-1;1;1;;;
2011;9;26.09.2011;Sylt-2;1;1;;;
2011;9;26.09.2011;Sylt-3;1;0;;;
2011;9;26.09.2011;Sylt-4;1;1;;;
2011;9;28.09.2011;Sylt-5;1;0;;;
2011;9;28.09.2011;Sylt-6;1;1;;;
2011;9;28.09.2011;Sylt-7;1;0;;;
2011;9;not sampled;Sylt-8;0;0;;;
2011;9;not sampled;Sylt-9;0;0;;;
2011;10;26.10.2011;Sylt-1;1;1;;;
2011;10;26.10.2011;Sylt-2;1;1;;;
2011;10;26.10.2011;Sylt-3;1;0;;;
2011;10;27.10.2011;Sylt-4;1;1;;;
2011;10;26.10.2011;Sylt-5;1;0;;;
2011;10;27.10.2011;Sylt-6;1;1;;;
2011;10;27.10.2011;Sylt-7;1;0;;;
2011;10;26.10.2011;Sylt-8;1;1;;;
2011;10;27.10.2011;Sylt-9;1;1;;;
2011;11;28.11.2011;Sylt-1;1;1;;;
2011;11;28.11.2011;Sylt-2;1;1;;;
2011;11;28.11.2011;Sylt-3;1;0;;;
2011;11;28.11.2011;Sylt-4;1;1;;;
2011;11;29.11.2011;Sylt-5;1;0;;;
